timestamp,equipment_id,chamber_id,lot_id,wafer_id,recipe_step,temperature_C,pressure_mTorr,rf_power_W,gas_flow_He_sccm,gas_flow_CF4_sccm,gas_flow_O2_sccm,etch_rate_nm_min,alarm_flag,alarm_code
2026-01-13T06:15:51Z,EQP_DE_001,C1,LOT_0001,WFR_0001,STABILIZE,20.1,0.0,0,200,0,0,,0,
2026-01-13T06:15:52Z,EQP_DE_001,C1,LOT_0001,WFR_0001,STABILIZE,22.4,1.5,0,200,0,0,,0,
2026-01-13T06:15:53Z,EQP_DE_001,C1,LOT_0001,WFR_0001,STABILIZE,35.6,5.8,0,200,0,0,,0,
2026-01-13T06:15:54Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,65.3,8.9,150,200,50,5,320.5,0,
2026-01-13T06:15:55Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,82.1,9.0,150,200,50,5,322.1,0,
2026-01-13T06:15:56Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,85.2,9.0,150,200,50,5,321.8,0,
2026-01-13T06:15:57Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,85.4,9.1,150,200,50,5,319.9,0,
2026-01-13T06:15:58Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,86.0,9.0,150,200,50,5,320.3,0,
2026-01-13T06:15:59Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,85.9,9.2,150,200,50,5,318.7,0,
2026-01-13T06:16:00Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,85.7,9.0,150,200,50,5,320.1,0,
2026-01-13T06:16:01Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,87.3,9.5,155,200,50,5,322.4,0,
2026-01-13T06:16:02Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,88.1,10.1,155,200,50,5,323.0,0,
2026-01-13T06:16:03Z,EQP_DE_001,C1,LOT_0001,WFR_0001,ETCH,91.5,10.4,155,200,50,5,325.8,1,ALM_TEMP_HIGH
2026-01-13T06:16:04Z,EQP_DE_001,C1,LOT_0001,WFR_0001,PURGE,60.2,2.1,0,400,0,0,,0,
2026-01-13T06:16:05Z,EQP_DE_001,C1,LOT_0001,WFR_0001,PURGE,42.3,0.8,0,400,0,0,,0,
2026-01-13T06:16:06Z,EQP_DE_001,C1,LOT_0001,WFR_0001,PURGE,30.1,0.3,0,400,0,0,,0,
2026-01-13T06:16:07Z,EQP_DE_001,C1,LOT_0001,WFR_0001,IDLE,22.5,0.0,0,0,0,0,,0,
timestamp,equipment_id,chamber_id,lot_id,wafer_id,recipe_step,temperature_C,pressure_mTorr,rf_power_W,gas_flow_He_sccm,gas_flow_CF4_sccm,gas_flow_O2_sccm,etch_rate_nm_min,alarm_flag,alarm_code
2026-01-13T06:20:00Z,EQP_DE_001,C1,LOT_0001,WFR_0002,STABILIZE,21.0,0.0,0,200,0,0,,0,
2026-01-13T06:20:01Z,EQP_DE_001,C1,LOT_0001,WFR_0002,ETCH,84.8,9.0,150,200,50,5,320.0,0,
2026-01-13T06:20:02Z,EQP_DE_001,C1,LOT_0001,WFR_0002,ETCH,85.1,9.0,150,200,50,5,321.5,0,
2026-01-13T06:20:03Z,EQP_DE_001,C1,LOT_0001,WFR_0002,ETCH,85.3,9.1,150,200,50,5,320.8,0,
2026-01-13T06:20:04Z,EQP_DE_001,C1,LOT_0001,WFR_0002,IDLE,22.0,0.0,0,0,0,0,,0,
